refDes,week,pct_science
CE02SHBP-LJ01D-05-ADCPTB104,2026-06-08,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-06-15,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-06-22,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-06-29,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-07-06,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-07-13,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-07-20,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-07-27,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-08-03,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-08-10,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-08-24,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-08-31,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-09-07,100.0
CE02SHBP-LJ01D-05-ADCPTB104,2026-09-14,100.0
CE02SHBP-LJ01D-06-CTDBPN106,2026-08-24,100.0
CE02SHBP-LJ01D-06-CTDBPN106,2026-08-31,100.0
CE02SHBP-LJ01D-06-CTDBPN106,2026-09-07,100.0
CE02SHBP-LJ01D-06-CTDBPN106,2026-09-14,100.0
CE02SHBP-LJ01D-07-VEL3DC108,2026-06-08,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-06-15,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-06-22,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-06-29,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-07-06,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-07-13,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-07-20,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-07-27,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-08-03,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-08-10,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-08-24,75.0
CE02SHBP-LJ01D-07-VEL3DC108,2026-08-31,75.0
CE02SHBP-LJ01D-07-VEL3DC108,2026-09-07,75.0
CE02SHBP-LJ01D-07-VEL3DC108,2026-09-14,75.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-06-08,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-06-15,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-06-22,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-06-29,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-07-06,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-07-13,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-07-20,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-07-27,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-08-03,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-08-10,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-08-24,25.7
CE02SHBP-LJ01D-09-PCO2WB103,2026-08-31,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-09-07,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-09-14,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-06-08,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-06-15,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-06-22,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-06-29,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-07-06,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-07-13,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-07-20,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-07-27,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-08-03,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-08-10,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-08-24,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-08-31,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-09-07,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-09-14,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-06-08,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-06-15,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-06-22,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-06-29,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-07-06,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-07-13,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-07-20,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-07-27,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-08-03,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-08-10,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-08-24,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-08-31,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-09-07,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-09-14,100.0
CE04OSBP-LJ01C-07-VEL3DC107,2026-06-08,87.5
CE04OSBP-LJ01C-07-VEL3DC107,2026-06-15,87.5
CE04OSBP-LJ01C-07-VEL3DC107,2026-06-22,87.5
CE04OSBP-LJ01C-07-VEL3DC107,2026-06-29,87.5
CE04OSBP-LJ01C-07-VEL3DC107,2026-07-06,87.5
CE04OSBP-LJ01C-07-VEL3DC107,2026-07-13,87.5
CE04OSBP-LJ01C-07-VEL3DC107,2026-07-20,87.5
CE04OSBP-LJ01C-07-VEL3DC107,2026-07-27,87.5
CE04OSBP-LJ01C-07-VEL3DC107,2026-08-03,87.5
CE04OSBP-LJ01C-07-VEL3DC107,2026-08-10,87.5
CE04OSBP-LJ01C-07-VEL3DC107,2026-08-24,87.5
CE04OSBP-LJ01C-07-VEL3DC107,2026-08-31,87.5
CE04OSBP-LJ01C-07-VEL3DC107,2026-09-07,87.4
CE04OSBP-LJ01C-07-VEL3DC107,2026-09-14,87.4
CE04OSBP-LJ01C-09-PCO2WB104,2026-06-08,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-06-15,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-06-22,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-06-29,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-07-06,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-07-13,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-07-20,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-07-27,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-08-03,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-08-10,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-08-24,0.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-08-31,88.6
CE04OSBP-LJ01C-09-PCO2WB104,2026-09-07,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-09-14,100.0
CE04OSBP-LJ01C-10-PHSEND107,2026-06-08,95.8
CE04OSBP-LJ01C-10-PHSEND107,2026-06-15,92.3
CE04OSBP-LJ01C-10-PHSEND107,2026-06-22,91.7
CE04OSBP-LJ01C-10-PHSEND107,2026-06-29,92.3
CE04OSBP-LJ01C-10-PHSEND107,2026-07-06,92.9
CE04OSBP-LJ01C-10-PHSEND107,2026-07-13,91.1
CE04OSBP-LJ01C-10-PHSEND107,2026-07-20,93.5
CE04OSBP-LJ01C-10-PHSEND107,2026-07-27,88.7
CE04OSBP-LJ01C-10-PHSEND107,2026-08-03,95.2
CE04OSBP-LJ01C-10-PHSEND107,2026-08-10,91.7
CE04OSBP-LJ01C-10-PHSEND107,2026-08-24,99.3
CE04OSBP-LJ01C-10-PHSEND107,2026-08-31,100.0
