refDes,week,delivered_bytes,delivered_human
CE02SHBP-LJ01D-05-ADCPTB104,2025-10-13,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2025-10-20,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2025-10-27,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2025-11-03,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2025-11-10,674234368,643 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2025-11-17,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2025-11-24,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2025-12-01,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2025-12-08,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2025-12-15,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2025-12-22,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2025-12-29,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-01-05,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-01-12,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-01-19,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-01-26,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-02-02,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-02-09,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-02-16,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-02-23,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-03-02,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-03-09,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-03-16,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-03-23,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-03-30,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-04-06,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-04-13,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-04-20,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-04-27,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-05-04,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-05-11,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-05-18,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-05-25,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-06-01,675282944,644 MiB
