refDes,week,delivered_bytes,delivered_human
CE02SHBP-LJ01D-05-ADCPTB104,2026-04-13,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-04-20,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-04-27,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-05-04,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-05-11,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-05-18,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-05-25,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-06-01,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-06-08,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-06-15,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-06-22,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-06-29,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-07-06,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-07-13,675282944,644 MiB
CE02SHBP-LJ01D-05-ADCPTB104,2026-07-20,675282944,644 MiB
CE02SHBP-LJ01D-06-CTDBPN106,2026-04-13,0,0 bytes
CE02SHBP-LJ01D-06-CTDBPN106,2026-04-20,0,0 bytes
CE02SHBP-LJ01D-06-CTDBPN106,2026-04-27,112,112 bytes
CE02SHBP-LJ01D-06-CTDBPN106,2026-05-04,0,0 bytes
CE02SHBP-LJ01D-06-CTDBPN106,2026-05-11,0,0 bytes
CE02SHBP-LJ01D-06-CTDBPN106,2026-05-18,0,0 bytes
CE02SHBP-LJ01D-06-CTDBPN106,2026-05-25,0,0 bytes
CE02SHBP-LJ01D-06-CTDBPN106,2026-06-01,0,0 bytes
CE02SHBP-LJ01D-06-CTDBPN106,2026-06-08,0,0 bytes
CE02SHBP-LJ01D-06-CTDBPN106,2026-06-15,0,0 bytes
CE02SHBP-LJ01D-06-CTDBPN106,2026-06-22,0,0 bytes
CE02SHBP-LJ01D-06-CTDBPN106,2026-06-29,0,0 bytes
CE02SHBP-LJ01D-06-CTDBPN106,2026-07-06,0,0 bytes
CE02SHBP-LJ01D-06-CTDBPN106,2026-07-13,0,0 bytes
CE02SHBP-LJ01D-06-CTDBPN106,2026-07-20,0,0 bytes
CE02SHBP-LJ01D-07-VEL3DC108,2026-04-13,220200960,210 MiB
CE02SHBP-LJ01D-07-VEL3DC108,2026-04-20,220200960,210 MiB
CE02SHBP-LJ01D-07-VEL3DC108,2026-04-27,220200960,210 MiB
CE02SHBP-LJ01D-07-VEL3DC108,2026-05-04,220200960,210 MiB
CE02SHBP-LJ01D-07-VEL3DC108,2026-05-11,220200960,210 MiB
CE02SHBP-LJ01D-07-VEL3DC108,2026-05-18,220200960,210 MiB
CE02SHBP-LJ01D-07-VEL3DC108,2026-05-25,220200960,210 MiB
CE02SHBP-LJ01D-07-VEL3DC108,2026-06-01,220200960,210 MiB
CE02SHBP-LJ01D-07-VEL3DC108,2026-06-08,220200960,210 MiB
CE02SHBP-LJ01D-07-VEL3DC108,2026-06-15,220200960,210 MiB
CE02SHBP-LJ01D-07-VEL3DC108,2026-06-22,220200960,210 MiB
CE02SHBP-LJ01D-07-VEL3DC108,2026-06-29,220200960,210 MiB
CE02SHBP-LJ01D-07-VEL3DC108,2026-07-06,220200960,210 MiB
CE02SHBP-LJ01D-07-VEL3DC108,2026-07-13,220200960,210 MiB
CE02SHBP-LJ01D-07-VEL3DC108,2026-07-20,220200960,210 MiB
CE02SHBP-LJ01D-08-OPTAAD106,2026-04-13,0,0 bytes
CE02SHBP-LJ01D-08-OPTAAD106,2026-04-20,0,0 bytes
CE02SHBP-LJ01D-08-OPTAAD106,2026-04-27,0,0 bytes
CE02SHBP-LJ01D-08-OPTAAD106,2026-05-04,0,0 bytes
CE02SHBP-LJ01D-08-OPTAAD106,2026-05-11,0,0 bytes
CE02SHBP-LJ01D-08-OPTAAD106,2026-05-18,0,0 bytes
CE02SHBP-LJ01D-08-OPTAAD106,2026-05-25,0,0 bytes
CE02SHBP-LJ01D-08-OPTAAD106,2026-06-01,0,0 bytes
CE02SHBP-LJ01D-08-OPTAAD106,2026-06-08,0,0 bytes
CE02SHBP-LJ01D-08-OPTAAD106,2026-06-15,0,0 bytes
CE02SHBP-LJ01D-08-OPTAAD106,2026-06-22,0,0 bytes
CE02SHBP-LJ01D-08-OPTAAD106,2026-06-29,0,0 bytes
CE02SHBP-LJ01D-08-OPTAAD106,2026-07-06,0,0 bytes
CE02SHBP-LJ01D-08-OPTAAD106,2026-07-13,0,0 bytes
CE02SHBP-LJ01D-08-OPTAAD106,2026-07-20,0,0 bytes
CE02SHBP-LJ01D-09-PCO2WB103,2026-04-13,69116,67.5 KiB
CE02SHBP-LJ01D-09-PCO2WB103,2026-04-20,69423,67.8 KiB
CE02SHBP-LJ01D-09-PCO2WB103,2026-04-27,69219,67.6 KiB
CE02SHBP-LJ01D-09-PCO2WB103,2026-05-04,69116,67.5 KiB
CE02SHBP-LJ01D-09-PCO2WB103,2026-05-11,68912,67.3 KiB
CE02SHBP-LJ01D-09-PCO2WB103,2026-05-18,69116,67.5 KiB
CE02SHBP-LJ01D-09-PCO2WB103,2026-05-25,69116,67.5 KiB
CE02SHBP-LJ01D-09-PCO2WB103,2026-06-01,69014,67.4 KiB
CE02SHBP-LJ01D-09-PCO2WB103,2026-06-08,69117,67.5 KiB
CE02SHBP-LJ01D-09-PCO2WB103,2026-06-15,69116,67.5 KiB
CE02SHBP-LJ01D-09-PCO2WB103,2026-06-22,69014,67.4 KiB
CE02SHBP-LJ01D-09-PCO2WB103,2026-06-29,69219,67.6 KiB
CE02SHBP-LJ01D-09-PCO2WB103,2026-07-06,69731,68.1 KiB
CE02SHBP-LJ01D-09-PCO2WB103,2026-07-13,69525,67.9 KiB
CE02SHBP-LJ01D-09-PCO2WB103,2026-07-20,69628,68 KiB
CE02SHBP-LJ01D-10-PHSENH110,2026-04-13,143360,140 KiB
CE02SHBP-LJ01D-10-PHSENH110,2026-04-20,143360,140 KiB
CE02SHBP-LJ01D-10-PHSENH110,2026-04-27,143360,140 KiB
CE02SHBP-LJ01D-10-PHSENH110,2026-05-04,143360,140 KiB
CE02SHBP-LJ01D-10-PHSENH110,2026-05-11,143360,140 KiB
CE02SHBP-LJ01D-10-PHSENH110,2026-05-18,143360,140 KiB
CE02SHBP-LJ01D-10-PHSENH110,2026-05-25,143360,140 KiB
CE02SHBP-LJ01D-10-PHSENH110,2026-06-01,143360,140 KiB
CE02SHBP-LJ01D-10-PHSENH110,2026-06-08,143360,140 KiB
CE02SHBP-LJ01D-10-PHSENH110,2026-06-15,143360,140 KiB
CE02SHBP-LJ01D-10-PHSENH110,2026-06-22,143360,140 KiB
CE02SHBP-LJ01D-10-PHSENH110,2026-06-29,143360,140 KiB
CE02SHBP-LJ01D-10-PHSENH110,2026-07-06,143360,140 KiB
CE02SHBP-LJ01D-10-PHSENH110,2026-07-13,143360,140 KiB
CE02SHBP-LJ01D-10-PHSENH110,2026-07-20,143360,140 KiB
CE02SHBP-LJ01D-11-HYDBBA106,2026-04-13,41525360894,38.67 GiB
CE02SHBP-LJ01D-11-HYDBBA106,2026-04-20,38517912138,35.87 GiB
CE02SHBP-LJ01D-11-HYDBBA106,2026-04-27,57105763461,53.18 GiB
CE02SHBP-LJ01D-11-HYDBBA106,2026-05-04,51636495903,48.09 GiB
CE02SHBP-LJ01D-11-HYDBBA106,2026-05-11,33264155763,30.98 GiB
CE02SHBP-LJ01D-11-HYDBBA106,2026-05-18,58389984003,54.38 GiB
CE02SHBP-LJ01D-11-HYDBBA106,2026-05-25,60050818573,55.93 GiB
CE02SHBP-LJ01D-11-HYDBBA106,2026-06-01,64683193097,60.24 GiB
CE02SHBP-LJ01D-11-HYDBBA106,2026-06-08,56774448662,52.88 GiB
CE02SHBP-LJ01D-11-HYDBBA106,2026-06-15,43205944733,40.24 GiB
CE02SHBP-LJ01D-11-HYDBBA106,2026-06-22,11297777153,10.52 GiB
CE02SHBP-LJ01D-11-HYDBBA106,2026-06-29,25497561495,23.75 GiB
CE02SHBP-LJ01D-11-HYDBBA106,2026-07-06,35110581861,32.7 GiB
CE02SHBP-LJ01D-11-HYDBBA106,2026-07-13,29140975616,27.14 GiB
CE02SHBP-LJ01D-11-HYDBBA106,2026-07-20,41385197564,38.54 GiB
CE02SHBP-MJ01C-08-CAMDSB107,2026-04-13,0,0 bytes
CE02SHBP-MJ01C-08-CAMDSB107,2026-04-20,0,0 bytes
CE02SHBP-MJ01C-08-CAMDSB107,2026-04-27,0,0 bytes
CE02SHBP-MJ01C-08-CAMDSB107,2026-05-04,0,0 bytes
CE02SHBP-MJ01C-08-CAMDSB107,2026-05-11,0,0 bytes
CE02SHBP-MJ01C-08-CAMDSB107,2026-05-18,0,0 bytes
CE02SHBP-MJ01C-08-CAMDSB107,2026-05-25,0,0 bytes
CE02SHBP-MJ01C-08-CAMDSB107,2026-06-01,0,0 bytes
CE02SHBP-MJ01C-08-CAMDSB107,2026-06-08,0,0 bytes
CE02SHBP-MJ01C-08-CAMDSB107,2026-06-15,0,0 bytes
CE02SHBP-MJ01C-08-CAMDSB107,2026-06-22,0,0 bytes
CE02SHBP-MJ01C-08-CAMDSB107,2026-06-29,0,0 bytes
CE02SHBP-MJ01C-08-CAMDSB107,2026-07-06,0,0 bytes
CE02SHBP-MJ01C-08-CAMDSB107,2026-07-13,0,0 bytes
CE02SHBP-MJ01C-08-CAMDSB107,2026-07-20,0,0 bytes
CE04OSBP-LJ01C-05-ADCPSI103,2026-04-13,660602880,630 MiB
CE04OSBP-LJ01C-05-ADCPSI103,2026-04-20,660602880,630 MiB
CE04OSBP-LJ01C-05-ADCPSI103,2026-04-27,660602880,630 MiB
CE04OSBP-LJ01C-05-ADCPSI103,2026-05-04,660602880,630 MiB
CE04OSBP-LJ01C-05-ADCPSI103,2026-05-11,660602880,630 MiB
CE04OSBP-LJ01C-05-ADCPSI103,2026-05-18,660602880,630 MiB
CE04OSBP-LJ01C-05-ADCPSI103,2026-05-25,660602880,630 MiB
CE04OSBP-LJ01C-05-ADCPSI103,2026-06-01,660602880,630 MiB
CE04OSBP-LJ01C-05-ADCPSI103,2026-06-08,660602880,630 MiB
CE04OSBP-LJ01C-05-ADCPSI103,2026-06-15,660602880,630 MiB
CE04OSBP-LJ01C-05-ADCPSI103,2026-06-22,660602880,630 MiB
CE04OSBP-LJ01C-05-ADCPSI103,2026-06-29,660602880,630 MiB
CE04OSBP-LJ01C-05-ADCPSI103,2026-07-06,660602880,630 MiB
CE04OSBP-LJ01C-05-ADCPSI103,2026-07-13,660602880,630 MiB
CE04OSBP-LJ01C-05-ADCPSI103,2026-07-20,660602880,630 MiB
CE04OSBP-LJ01C-06-CTDBPO108,2026-04-13,32296138,30.8 MiB
CE04OSBP-LJ01C-06-CTDBPO108,2026-04-20,32296138,30.8 MiB
CE04OSBP-LJ01C-06-CTDBPO108,2026-04-27,32296138,30.8 MiB
CE04OSBP-LJ01C-06-CTDBPO108,2026-05-04,32296138,30.8 MiB
CE04OSBP-LJ01C-06-CTDBPO108,2026-05-11,32296138,30.8 MiB
CE04OSBP-LJ01C-06-CTDBPO108,2026-05-18,32296138,30.8 MiB
