2026-07-24 12:08:01.682 | INFO     | rca_kpis.science:science_instrument:136 - CE04OSPS-SF01B-3A-FLORTD104: start
2026-07-24 12:09:34.971 | INFO     | rca_kpis.science:science_instrument:149 - CE04OSPS-SF01B-3A-FLORTD104: 17 wks, sci~71% [93s, peak 14.4 GiB]
2026-07-24 12:09:34.981 | INFO     | rca_kpis.science:science_instrument:136 - RS01SBPS-SF01A-3A-FLORTD101: start
2026-07-24 12:10:16.247 | INFO     | rca_kpis.science:science_instrument:149 - RS01SBPS-SF01A-3A-FLORTD101: 17 wks, sci~100% [41s, peak 14.4 GiB]
2026-07-24 12:10:16.257 | INFO     | rca_kpis.science:science_instrument:136 - RS03AXPS-SF03A-3A-FLORTD301: start
2026-07-24 12:11:05.553 | INFO     | rca_kpis.science:science_instrument:149 - RS03AXPS-SF03A-3A-FLORTD301: 17 wks, sci~86% [49s, peak 14.4 GiB]
2026-07-24 12:11:05.567 | INFO     | rca_kpis.science:science_instrument:136 - CE04OSPS-SF01B-4A-NUTNRA102: start
2026-07-24 12:11:14.752 | INFO     | rca_kpis.science:science_instrument:149 - CE04OSPS-SF01B-4A-NUTNRA102: 17 wks, sci~100% [9s, peak 14.4 GiB]
2026-07-24 12:11:14.753 | INFO     | rca_kpis.science:science_instrument:136 - RS01SBPS-SF01A-4A-NUTNRA101: start
2026-07-24 12:11:23.654 | INFO     | rca_kpis.science:science_instrument:149 - RS01SBPS-SF01A-4A-NUTNRA101: 16 wks, sci~96% [9s, peak 14.4 GiB]
2026-07-24 12:11:23.654 | INFO     | rca_kpis.science:science_instrument:136 - RS03AXPS-SF03A-4A-NUTNRA301: start
2026-07-24 12:11:34.166 | INFO     | rca_kpis.science:science_instrument:149 - RS03AXPS-SF03A-4A-NUTNRA301: 17 wks, sci~96% [11s, peak 14.4 GiB]
2026-07-24 12:11:34.167 | INFO     | rca_kpis.science:science_instrument:136 - CE04OSPS-SF01B-3C-PARADA102: start
2026-07-24 12:12:44.975 | INFO     | rca_kpis.science:science_instrument:149 - CE04OSPS-SF01B-3C-PARADA102: 17 wks, sci~25% [71s, peak 14.4 GiB]
2026-07-24 12:12:45.016 | INFO     | rca_kpis.science:science_instrument:136 - RS01SBPS-SF01A-3C-PARADA101: start
2026-07-24 12:15:05.076 | INFO     | rca_kpis.science:science_instrument:149 - RS01SBPS-SF01A-3C-PARADA101: 17 wks, sci~35% [140s, peak 14.5 GiB]
2026-07-24 12:15:05.119 | INFO     | rca_kpis.science:science_instrument:136 - RS03AXPS-SF03A-3C-PARADA301: start
2026-07-24 12:17:09.035 | INFO     | rca_kpis.science:science_instrument:149 - RS03AXPS-SF03A-3C-PARADA301: 17 wks, sci~35% [124s, peak 17.8 GiB]
2026-07-24 12:17:09.082 | INFO     | rca_kpis.science:science_instrument:136 - CE04OSPS-SF01B-4F-PCO2WA102: start
2026-07-24 12:17:13.204 | INFO     | rca_kpis.science:science_instrument:149 - CE04OSPS-SF01B-4F-PCO2WA102: 17 wks, sci~64% [4s, peak 17.8 GiB]
2026-07-24 12:17:13.204 | INFO     | rca_kpis.science:science_instrument:136 - CE04OSPS-PC01B-4D-PCO2WA105: start
2026-07-24 12:17:18.017 | INFO     | rca_kpis.science:science_instrument:149 - CE04OSPS-PC01B-4D-PCO2WA105: 17 wks, sci~100% [5s, peak 17.8 GiB]
2026-07-24 12:17:18.017 | INFO     | rca_kpis.science:science_instrument:136 - RS01SBPS-SF01A-4F-PCO2WA101: start
2026-07-24 12:17:21.789 | INFO     | rca_kpis.science:science_instrument:149 - RS01SBPS-SF01A-4F-PCO2WA101: 16 wks, sci~49% [4s, peak 17.8 GiB]
2026-07-24 12:17:21.790 | INFO     | rca_kpis.science:science_instrument:136 - RS03AXPS-SF03A-4F-PCO2WA301: start
2026-07-24 12:17:25.767 | INFO     | rca_kpis.science:science_instrument:149 - RS03AXPS-SF03A-4F-PCO2WA301: 17 wks, sci~76% [4s, peak 17.8 GiB]
2026-07-24 12:17:25.768 | INFO     | rca_kpis.science:science_instrument:136 - CE02SHBP-LJ01D-09-PCO2WB103: start
2026-07-24 12:17:29.485 | INFO     | rca_kpis.science:science_instrument:149 - CE02SHBP-LJ01D-09-PCO2WB103: 17 wks, sci~100% [4s, peak 17.8 GiB]
2026-07-24 12:17:29.485 | INFO     | rca_kpis.science:science_instrument:136 - CE04OSBP-LJ01C-09-PCO2WB104: start
